,,,1,2,3,4,5,
1,1322,2025/2/18,5,16,18,22,28,
2,1321,2025/2/11,1,5,6,24,25,
3,1320,2025/2/4,2,3,7,25,28,
4,1319,2025/1/28,4,6,16,26,29,
5,1318,2025/1/21,5,7,15,24,29,
6,1317,2025/1/14,7,22,26,30,31,
7,1316,2025/1/7,4,7,10,11,17,
8,1315,2024/12/24,6,15,22,29,30,
9,1314,2024/12/17,18,20,21,23,30,
10,1313,2024/12/10,2,5,9,22,31,
11,1312,2024/12/3,10,12,13,21,31,
12,1311,2024/11/26,3,11,27,28,31,
13,1310,2024/11/19,13,14,19,24,28,
14,1309,2024/11/12,6,12,25,27,29,
15,1308,2024/11/5,3,8,12,16,22,
16,1307,2024/10/29,11,13,16,18,20,
17,1306,2024/10/22,5,7,27,28,29,
18,1305,2024/10/15,7,12,14,29,30,
19,1304,2024/10/8,3,4,6,20,31,
20,1303,2024/10/1,7,14,17,30,31,
21,1302,2024/9/24,6,11,12,17,24,
22,1301,2024/9/17,13,15,25,26,27,
23,1300,2024/9/10,1,4,16,27,31,
24,1299,2024/9/3,3,4,9,11,18,
25,1298,2024/8/27,2,4,12,13,17,
26,1297,2024/8/20,1,12,17,21,28,
27,1296,2024/8/13,9,13,18,19,21,
28,1295,2024/8/6,4,11,12,21,26,
29,1294,2024/7/30,8,21,22,27,29,
30,1293,2024/7/23,6,8,10,20,28,
31,1292,2024/7/16,6,11,21,23,25,
32,1291,2024/7/9,1,2,8,11,29,
33,1290,2024/7/2,21,26,27,29,31,
34,1289,2024/6/25,17,18,21,27,30,
35,1288,2024/6/18,4,12,14,16,22,
36,1287,2024/6/11,10,12,23,26,30,
37,1286,2024/6/4,9,10,12,13,30,
38,1285,2024/5/28,4,5,18,23,25,
39,1284,2024/5/21,4,11,23,28,31,
40,1283,2024/5/14,1,11,25,29,31,
41,1282,2024/5/7,2,22,23,30,31,
42,1281,2024/4/30,4,10,15,18,24,
43,1280,2024/4/23,7,9,14,17,20,
44,1279,2024/4/16,1,14,18,22,28,
45,1278,2024/4/9,3,10,19,21,31,
46,1277,2024/4/2,2,13,18,22,28,
47,1276,2024/3/26,4,9,13,16,31,
48,1275,2024/3/19,6,11,12,13,14,
49,1274,2024/3/12,1,7,8,10,14,
50,1273,2024/3/5,7,18,20,22,23,
,,,,,,,,